Original Time,Rewritten Time
August 2004 through February 2005,about nineteen years ago through approximately eighteen years ago
1,1971 -> several decades ago
2,1979 to 1994 -> from 1979 to 1994 (Retained)
3,1979 -> several decades ago
4,"1983 to 1987, and again from 1988 to 1991 -> from 1983 to 1987, and again from 1988 to 1991 (Retained)"
5,1996 -> about two decades ago
6,1998 -> about 25 years ago
7,1998-2000 -> around the turn of the millennium
8,2007 -> around 15 years ago
9,2007 to 2016 -> 2007 to 2016 (Retained)
10,2009 -> early 2009 (Retained)
1957,many decades ago
1964,nearly a decade later
1967,a few years after the sale
1968,around the late 1960s
1972,a few years later
1979,by the end of the 1970s
1996,some years ago
1999,many years ago
2000,long ago
2012,some years back
2004,several years later
1988,several decades ago
1998,around two decades ago
2018,a few years ago
2000,"""that turn-of-the-millennium"""
1977,"""the late 1970s"""
1985,"""a subsequent year"""
2011,"""some fifteen years later"""
1956 to 1957,decades ago
2008,a few years before the time of this writing
2008,not long ago
2008,around the same time
2008,in a similar era
1949,that same year
1950,the following year
1951,the year after that
1963,more than a decade later
2023,earlier this year
In December 2009,In December of the following year
1 December 2007,the last month of 2007
8 December 2007,a week later
22 February 2008,earlier the next year
1927,about 96 years ago
1941 and 1942,early 1940s
1947,about 76 years ago
1951,roughly 72 years ago
1961 to 1977,Approximately 62 years ago to about 46 years ago
1964,about 59 years ago
1979,several years later
From 1980 to 1989,Throughout the 1980s
1985 to 1986,mid-decade
In 1987,Not long after
1994,nearly a decade before the new millennium
In 2000,Just after the turn of the millennium
1986,several decades ago
In 1996,Around a quarter-century back
the 2020 Summer Olympics,the Summer Olympics three years ago
2022,last year
Beijing 2022,the Winter Olympics three years prior
June 2022,a few months ago
2003,about two decades ago
2004,some years back
October 2010,roughly a decade and a half ago
May 2018,a few years ago
12 June 2018,June of a few years back
1923,many decades ago
1973,roughly half a century ago
1954,Several years after World War II
1978,Around the late 1970s
1980,shortly after that departure
2008,Shortly afterward
"May 25, 2011",just a little over a decade ago
1994,some years back
1995,shortly after that
2005,a little over a decade ago
2005 to 2010,for five years until 2010
January 2012,a couple of years later
2013,several years ago
in 1919,"""a couple of years later"""
in 1922,"""Not much later"""
in November 1924,"""Two years on"""
in 1934,"""several decades ago"""
in 1946,"""after World War II"""
in 1990,"""more than three decades ago"""
1966,mid-1960s
1935,"""around the beginning of the year"""
1938,"""within a few years"""
April 1941,"""in the spring of that year"""
summer of 1941,"""a few months later"""
26-27 December 1944,"""five days after Christmas that same year"""
1945,"""shortly thereafter"""
3 January 1945,"""early that year"""
12 February 1945,"""about a month later"""
Yalta conference,"""end of the Yalta conference"" (retained as absolute time expression)"
1997,many years ago
1998,the initial two years that followed
1999,the initial two years that followed
1998,the same year
2002,a few years later
2006,a few years after the turn of the millennium
2010,four years later
2007,during the period leading up to December 2014
2010,a few years later
2015,several years after
1970,several decades ago
"August 22, 2013",over a decade ago
1992,"""many years ago"""
2012,"""A few years ago"""
2008,"""over a decade ago"""
2012,"""a few years ago"""
2008,"""the new decade"""
1997,"""a couple of decades ago"""
December 2009,"""the end of that year"""
2012,"""A decade ago"""
1969,five years later
1975,a few years thereafter
1978,after a few more years
1993,more than a decade later
1996,three years later
1996,in the same year
1999,the following year
"April 28, 2001",early 21st-century
October 2002,a year later
"June 10, 2003",a year after that
1971 Pan American Games,a couple of years before Stevenson emerged
1967,many decades ago
1967,several decades back
1973,a while ago
1983–1985,mid-1980s
October 1993,early 1990s
1999,just before the turn of the millennium
2000,around two decades ago
1955,many decades ago
1957,two years later
1958,the late 1950s
1966,the mid-1960s
1959,many years ago
1967,five decades ago
1967,long after his prime racing years
1992,long after his prime racing years
11 June 1993,more than 30 years ago
1993,more than 30 years ago
1930,Several years later
1949,Quite some years later
1954,About a couple of years later
1955,A year afterward
1959,Four years after that point
2007 season,"""a few years later"""
2007 Formula One espionage controversy,"""mid-2000s"""
1 February 2007,"""Early in the same year"""
23 February 2007,"""About three weeks later"""
21 June 2007,"""In the middle of that year"""
22 January 2008,"""In the early part of the following year"""
2008 FIA GT Championship,"""FIA GT Championship"""
27 August 2010,"""A couple of years later"""
29 September 2010,"""Around a month after that"""
2,In 1992 -> The following year
3,in 1993 -> later that year
12,In the of 2014 -> A decade later
2008,two years later
2013,ten years ago
2014,nine years ago
2014,from the same period
2015,seven years ago
2016,about seven years ago
1995,more than two decades ago
2001,at the dawn of the century
"October 9, 2001",on what would have been Lennon's birthday in the same year
"July 21, 2002",one year later
"September 30, 2005",midway through the decade
2006,a year following
2007,the subsequent year
July 2007,the summer of the same year
"July 11, 2007",just after the mid-point of the year
"May 13, 2020",Near the midpoint of 2020
1995,mid-90s
1996,the following year
2004,nearly a decade later
2001,the dawn of the new millennium
2002,Approximately one year after that
2003,early 2000s
2004,the next year
2013,A few years later
2016,early the following year
1972,the early 70s
1991,About three decades ago
1992,the early 90s
1996,mid-90s
2000,at the turn of the millennium
2001,the early 2000s
2005,close to two decades ago
14 February 2005,mid-February 2005
1998,over two decades ago
2003,over two decades ago
1 December 1991,on 1 December
1987,two years later
From 1991 to 2001,"Starting three decades ago, until two decades ago"
From 1998 to 2006,For eight years starting in 1998
1980,a long time ago
the 1970s,decades ago
2003 to 2008,several years ago
2009,quite recently
2005,several years ago
1998,the late 90s
2 - 1994,During a period ranging up to nearly two decades ago.
2 - 2005,During a period ranging up to nearly two decades ago.
3 - 1998 to 2006,Almost two decades ago.
4 - 2003 to 2006,In the early 2000s.
6 - 2004,That same period.
9 - 2015,In early 2015.
1924,nearly a century ago
1972,the early 1970s
2008,the first decade of this century
1970,a few decades ago
In 1976,In the mid-1970s
in 1982,several years later
in early 1987,in the late 1980s
from 1995 to 1999,for a period in the 1990s
In 2002,Two decades ago
in November 2003,nearly twenty years ago
in 2007,a little over fifteen years ago
In September 2009,About fifteen years ago
for the University of Utah Class of 2020,for a recent University of Utah graduating class
1928,quite a few decades ago
"July 16, 1953",a few weeks later
1965,almost two decades later
1953,after completing his studies
April 1977,several years after his previous move
"April 23, 2015",earlier this year
1927,just over nine decades ago
1951 to '56,"over seventy years ago, to sixty-seven years ago"
1962,six decades ago
1967,the following year
1968,the year following
2003,about twenty years later
1995,About a decade after he started as CEO
June 2008,Shortly after the new year in 2008
12 June 1995,shortly thereafter in June of that year
29 April 1999,later in April 1999
early 2000,at the dawn of the new millennium
March 2007,a decade and two years after the new millennium began
3 May 2007,soon after the 2007 parliamentary elections
mid-2009,around halfway through the following decade
March 2011,about eight years before the present year
April 2015,just over eight years ago
1997,back then
late 2001,just shy of two decades ago
2002,the subsequent campaign
2004,A couple of years after the millennium
2006,the season following a notable rule change
17 July 2007,Not quite two decades ago
July 2009,two years later
early 2010,In the beginning of a new decade
September 2011,later that year
2002,the early 2000s
2010,that year’s
22 June 2010,the end of June of that same year
1 July,the subsequent month
4 January 2011,At the start of the following year
24 May 2011,Later that year
January 2016,At the beginning of 2016
July 2019,In the summer of 2019
1956,five years later
1960,four years after that
1988,six years after that
1935,the mid-1930s
1939,just before the outbreak of World War II
1945,Near the end of the war
1952,about seven years after joining the CID
1957,another five years later
1959,by the end of the 1950s
